title,year,runtime,certificate,rating,metascore,votes,gross
Blade Runner,1982,117,R,8.1,84.0,796019,32.87
Hacksaw Ridge,2016,139,R,8.1,71.0,560486,67.21
Catch Me If You Can,2002,141,PG-13,8.1,75.0,1038689,164.62
The Handmaiden,2016,145,Not Rated,8.1,85.0,160422,2.01
Ford v Ferrari,2019,152,PG-13,8.1,81.0,430183,117.62
Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,8.1,85.0,911306,381.01
The Big Lebowski,1998,117,R,8.1,71.0,834206,17.50
Ratatouille,2007,111,G,8.1,96.0,780286,206.45
Fargo,1996,98,R,8.1,86.0,698705,24.61
"Three Billboards Outside Ebbing, Missouri",2017,115,R,8.1,88.0,532306,54.51
Inside Out,I) (2015,95,PG,8.1,94.0,747812,356.46
Rocky,1976,120,PG,8.1,70.0,605736,117.24
Dead Poets Society,1989,128,PG,8.1,79.0,517311,95.86
Into the Wild,2007,148,R,8.1,73.0,640012,18.35
Before Sunrise,1995,101,R,8.1,77.0,324901,5.54
Memories of Murder,2003,132,Not Rated,8.1,82.0,200184,0.01
The Wizard of Oz,1939,102,PG,8.1,92.0,414382,2.08
Logan,2017,137,R,8.1,77.0,798323,226.28
Trainspotting,1996,93,R,8.1,83.0,706243,16.50
Warrior,2011,140,PG-13,8.1,71.0,485410,13.66
"Monsters, Inc.",2001,92,G,8.1,79.0,943241,289.92
Spotlight,I) (2015,129,R,8.1,93.0,486722,45.06
La haine,1995,98,Not Rated,8.1,,184821,0.31
Rush,I) (2013,123,R,8.1,74.0,496317,26.95
The Help,2011,146,PG-13,8.1,62.0,476767,169.71
Portrait of a Lady on Fire,2019,122,R,8.1,95.0,101026,3.76
The Deer Hunter,1978,183,R,8.1,86.0,349509,48.98
"Lock, Stock and Two Smoking Barrels",1998,107,R,8.1,66.0,599671,3.90
Platoon,1986,120,R,8.1,92.0,426602,138.53
Room,I) (2015,118,R,8.1,86.0,435936,14.68
How to Train Your Dragon,2010,98,PG,8.1,75.0,770495,217.58
The Sound of Music,1965,172,G,8.1,63.0,247547,163.21
12 Years a Slave,2013,134,R,8.1,96.0,721579,56.67
Gran Torino,2008,116,R,8.1,72.0,795103,148.10
Barry Lyndon,1975,185,PG,8.1,89.0,175827,
"Paris, Texas",1984,145,R,8.1,81.0,112105,2.18
Cool Hand Luke,1967,127,GP,8.1,92.0,183604,16.22
Raging Bull,1980,129,R,8.1,90.0,366826,23.38
Million Dollar Baby,2004,132,PG-13,8.1,86.0,704636,100.49
Stalker,1979,162,Not Rated,8.1,85.0,139659,0.23
My Neighbor Totoro,1988,86,G,8.1,86.0,358317,1.11
The Seventh Seal,1957,96,Not Rated,8.1,88.0,191880,
In the Mood for Love,2000,98,PG,8.1,87.0,158825,2.73
Before Sunset,2004,80,R,8.1,91.0,277274,5.82
Hachi: A Dog's Tale,2009,93,G,8.1,,298634,
In the Name of the Father,1993,133,R,8.1,84.0,181493,25.01
Wild Tales,2014,122,R,8.1,77.0,207815,3.11
The Iron Giant,1999,86,PG,8.1,85.0,213638,23.16
Persona,1966,83,Not Rated,8.1,86.0,125434,
Ben-Hur,1959,212,G,8.1,90.0,246906,74.70
Network,1976,121,R,8.1,83.0,164868,
Amores Perros,2000,154,R,8.1,83.0,247105,5.38
The Third Man,1949,93,Approved,8.1,97.0,176753,0.45
Rebecca,1940,130,Approved,8.1,86.0,142143,4.36
A Silent Voice: The Movie,2016,130,Not Rated,8.1,78.0,92305,
The Bridge on the River Kwai,1957,161,PG,8.1,87.0,227431,44.91
On the Waterfront,1954,108,Approved,8.1,91.0,159914,9.60
Hotel Rwanda,2004,121,PG-13,8.1,79.0,364259,23.53
The Man Who Shot Liberty Valance,1962,123,Approved,8.1,94.0,79659,
Neon Genesis Evangelion: The End of Evangelion,1997,87,TV-MA,8.1,,59782,
Paper Moon,1973,102,PG,8.1,77.0,50365,30.93
The Miracle Worker,1962,106,Approved,8.1,83.0,19755,5.45
The Best Years of Our Lives,1946,170,Approved,8.1,93.0,67897,23.65
It Happened One Night,1934,105,Passed,8.1,87.0,108380,4.36
The Grapes of Wrath,1940,129,Passed,8.1,96.0,97059,0.06
The Celebration,1998,105,R,8.1,82.0,90800,1.65
Fanny and Alexander,1982,188,R,8.1,100.0,65798,4.97
Mary and Max,2009,92,Not Rated,8.1,,182275,
All Quiet on the Western Front,1930,152,Passed,8.1,91.0,65874,3.27
PK,2014,153,Not Rated,8.1,,194689,10.62
The 400 Blows,1959,99,Not Rated,8.1,,123516,
Farewell My Concubine,1993,171,R,8.1,83.0,31273,5.22
A Woman Under the Influence,1974,155,R,8.1,88.0,27217,13.34
Three Colors: Red,1994,99,R,8.1,100.0,107080,4.04
Wild Strawberries,1957,91,Not Rated,8.1,88.0,111167,
Tokyo Story,1953,136,Not Rated,8.1,100.0,65085,
The Red Shoes,1948,135,Not Rated,8.1,,37323,10.90
Underground,1995,167,Not Rated,8.1,79.0,59910,0.17
Andrei Rublev,1966,205,R,8.1,,55595,0.10
Yi Yi: A One and a Two...,2000,173,Not Rated,8.1,94.0,26741,1.14
